1;Jesper går en tur;1;-1;1;2;;;;
2;Himlen er blå i dag;1;-1;1;2;;;;
3;Vi finder en stor skat;1;-1;1;2;;;;
4;Karoline synger højt;1;-1;1;2;;;;
5;Hesten hedder Lotte;1;-1;1;2;;;;
6;Børnene elsker store is;1;-1;1;2;;;;
7;Hunden løber efter katten;1;-1;1;2;;;;
8;Græsplænen bliver vandet;1;-1;1;2;;;;
9;Alle springer i poolen;1;-1;1;2;;;;
10;Kristoffer tjener sine egne penge;1;-1;1;2;;;;
11;Magnus og Mia venter på bussen;2;-1;1,2,3;4;;;;
12;Telefonen ringede mange gange;2;-1;1;2;;;;
13;Bedstefaren og bedstemoren havde syv børnebørn;2;-1;1,2,3;4;;;;
14;Spillede du også fodboldkamp i går?;2;-1;2;1;;;;
15;Rip Rap og Rup er trillinger;2;-1;1,2,3,4;5;;;;
16;Hver dag glemmer Kristian lektierne;2;-1;4;3;;;;
17;Om vinteren bliver dagene kortere;2;-1;4;3;;;;
18;Butikken har lukket;2;-1;1;2;;;;
19;Huskede Lasses mor forældremødet?;2;-1;2,3;1;;;;
20;Endte fodboldkampen uafgjort?;2;-1;2;1;;;;
21;Jeg kommer råbte drengen;3;2;1;2;4;3;;
22;Killinger er søde når de leger;3;3;1;2;5;6;;
23;Skolen lukker når det er sommer;3;2;1;2;4;5;;
24;Hvorfor hvisker du spurgte Tobias;3;3;3;2;5;4;;
25;Mor steger frikadeller de bliver gode;3;3;1;2;4;5;;
26;Hønsene lægger æg de bor i hønsegården;3;3;1;2;4;5;;
27;Maleriet var ikke ægte det var en kopi;3;4;1;2;5;6;;
28;Blomsterne visnede de manglede vand;3;2;1;2;3;4;;
29;Lyset tændte da døren blev åbnet;3;2;1;2;4;5;;
30;Lægen spurgte om jeg havde feber;3;2;1;2;4;5;;
31;Lene spiller fodbold Rasmus spiller badminton;4;3;1;2;4;5;;
32;Søsteren kaldte på broren fordi der var aftensmad;4;4;1;2;6;7;;
33;Alle klassekammeraterne kommer for Rasmine har fødselsdag;4;3;1,2;3;5;6;;
34;Telefonen ringede men ingen svarede;4;2;1;2;4;5;;
35;Flyvemaskinen flyver til Spanien i morgen tidlig;4;-1;1;2;;;;
36;Sover børnene inden klokken er 21?;4;2;2;1;4;5;;
37;Eleverne synes at de får for mange lektier for;4;2;1;2;4;5;;
38;Da filmen startede havde alle købt popcorn;4;3;2;3;5;4;;
39;Bygningen brændte men beboerne blev reddet;4;2;1;2;4;5;;
40;Tænker du på om vi vinder kampen?;4;3;2;1;5;6;;
41;Hver gang eleverne arbejder er der fuldstændig ro i klassen;5;4;3;4;6;5;;
42;Hvornår har vi en aftale om at du skal være hjemme?;5;5;3;2;8;9;;
43;Pigen kiggede længe efter drengen hun syntes godt om ham;5;5;1;2;6;7;;
44;Jakob og Anne boede i København det var tæt på Hovedbanegården;5;6;1,2,3;4;7;8;;
45;Gider du hjælpe mig spurgte Signe sin mor men hun svarede ikke;5;4,8;2;1;6;5;10;11
46;Da Ida købte sin computer var den på udsalg;5;5;2;3;7;6;;
47;Medaljerne blev givet til vinderen taberne fik derimod ingenting;5;5;1;2;6;7;;
48;Simons onkel var kok han arbejdede meget det var hårdt arbejde;5;3,6;4;5;7;8;;
49;Feriegæsterne boede på hotellet efter morgenmaden tog de til stranden;5;4;1;2;8;7;;
50;Kommaøvelser voldte problemer men det gik fordi øvelserne var sjove;5;3,6;1;2;5;6;8;9
